"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2"
"CO_34131","CO_E22",0.991,0.008,0.001,0.005,59551,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E22","Make Believe","egg","MakeBelieve-69",69,"collected","MakeBelieve-69_collected"
"CO_34131","CO_E09",0.367,0.372,0.261,0.447,54215,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E09","Make Believe","egg","MakeBelieve-26",26,"collected","MakeBelieve-26_collected"
"CO_34131","CO_97347",0.314,0.58,0.106,0.396,61184,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2640-97347","Make Believe","mom","MakeBelieve-26",NA,NA,NA
"CO_34131","CO_E05",0.471,0.335,0.194,0.361,57466,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E05","Make Believe","egg","MakeBelieve-26",26,"collected","MakeBelieve-26_collected"
"CO_34131","CO_E19",0.994,0.006,0,0.003,61790,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E19","Cooks","egg","Cooks-23",23,"collected","Cooks-23_collected"
"CO_34131","CO_E30",0.993,0.007,0,0.004,52961,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E30","Blue Cloud","egg","BlueCloud-09",9,"collected","BlueCloud-09_collected"
"CO_34131","CO_E21",0.991,0.006,0.003,0.006,60095,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E21","Make Believe","egg","MakeBelieve-69",69,"collected","MakeBelieve-69_collected"
"CO_34131","CO_E29",0.992,0.007,0.001,0.004,62067,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E29","Blue Cloud","egg","BlueCloud-09",9,"collected","BlueCloud-09_collected"
"CO_34131","CO_E24",0.992,0.008,0,0.004,58982,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E24","Make Believe","egg","MakeBelieve-69",69,"collected","MakeBelieve-69_collected"
"CO_34131","CO_E23",0.993,0.007,0,0.004,56944,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E23","Make Believe","egg","MakeBelieve-69",69,"collected","MakeBelieve-69_collected"
"CO_34131","CO_E37",0.993,0.006,0.001,0.004,56781,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E37","Cathys","egg","Cathys-03",3,"collected","Cathys-03_collected"
"CO_34131","CO_E31",0.992,0.008,0,0.004,59582,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E31","Blue Cloud","egg","BlueCloud-09",9,"collected","BlueCloud-09_collected"
"CO_34131","CO_E32",0.99,0.01,0,0.005,59080,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E32","Blue Cloud","egg","BlueCloud-09",9,"collected","BlueCloud-09_collected"
"CO_34131","CO_E33",0.994,0.006,0,0.003,60469,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E33","Blue Cloud","egg","BlueCloud-09",9,"collected","BlueCloud-09_collected"
"CO_34131","CO_E35",0.993,0.007,0,0.004,59590,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E35","Cathys","egg","Cathys-03",3,"collected","Cathys-03_collected"
