"dist","near_rank","BarnName_1","BarnName_2"
4322.250592,21,"Blue Cloud wash room","Plumbumpy est"
4386.85864,22,"Blue Cloud wash room","Boyer"
4431.574785,23,"Blue Cloud wash room","Brown Barn est"
4561.010246,24,"Blue Cloud wash room","Mary Anns est"
4671.073588,25,"Blue Cloud wash room","Cathys est"
4681.781374,26,"Blue Cloud wash room","Cathys trailer est"
4818.568768,27,"Blue Cloud wash room","Martes est"
4861.524344,28,"Blue Cloud wash room","Ericas"
5284.276128,29,"Blue Cloud wash room","Quick est"
5294.307626,30,"Blue Cloud wash room","Dome House est"
5375.311974,31,"Blue Cloud wash room","Urban Farm Girlz Sheep Shed"
5414.704137,32,"Blue Cloud wash room","Urban Farm Girlz Red Barn"
5452.566386,33,"Blue Cloud wash room","Urban Farm Girls Chicken coop"
5921.003268,34,"Blue Cloud wash room","Grizz est"
6159.334805,35,"Blue Cloud wash room","James Ditch est"
6384.006083,36,"Blue Cloud wash room","Schaaps"
7509.74856,37,"Blue Cloud wash room","Cargill est"
8078.861616,38,"Blue Cloud wash room","Hepp awning"
8079.165808,39,"Blue Cloud wash room","Cooks"
8527.683609,40,"Blue Cloud wash room","Reinarz Garage est"
8562.618015,41,"Blue Cloud wash room","Reinarz shed est"
8711.64143,42,"Blue Cloud wash room","Alishas est"
9073.411897,43,"Blue Cloud wash room","Sol y Sombra est"
31.72741803,1,"Urban Farm Girlz Sheep Shed","Urban Farm Girlz Red Barn"
76.39529083,2,"Urban Farm Girlz Sheep Shed","Urban Farm Girls Chicken coop"
183.2160072,3,"Urban Farm Girlz Sheep Shed","Dome House est"
942.164708,4,"Urban Farm Girlz Sheep Shed","Martes est"
1109.676339,5,"Urban Farm Girlz Sheep Shed","Plumbumpy est"
1535.559226,6,"Urban Farm Girlz Sheep Shed","Boyer"
1550.740645,7,"Urban Farm Girlz Sheep Shed","Quick est"
2259.514836,8,"Urban Farm Girlz Sheep Shed","Red Wagon porch est"
2715.210023,9,"Urban Farm Girlz Sheep Shed","Cathys trailer est"
2733.095014,10,"Urban Farm Girlz Sheep Shed","Cathys est"
2900.906662,11,"Urban Farm Girlz Sheep Shed","Mary Anns est"
3172.886591,12,"Urban Farm Girlz Sheep Shed","Speedwell est"
4129.296962,13,"Urban Farm Girlz Sheep Shed","Brown Barn est"
4154.959669,14,"Urban Farm Girlz Sheep Shed","Struthers round"
4200.884412,15,"Urban Farm Girlz Sheep Shed","Struthers main"
4231.890601,16,"Urban Farm Girlz Sheep Shed","Struthers back shed"
4494.093688,17,"Urban Farm Girlz Sheep Shed","Green Mill est"
4582.444628,18,"Urban Farm Girlz Sheep Shed","Schaaps"
4680.237414,19,"Urban Farm Girlz Sheep Shed","Jays est"
5255.661713,20,"Urban Farm Girlz Sheep Shed","Nixon est"
5360.094296,21,"Urban Farm Girlz Sheep Shed","Blue Cloud Gazebo"
5366.224006,22,"Urban Farm Girlz Sheep Shed","Blue Cloud Middle Shed"
5375.311974,23,"Urban Farm Girlz Sheep Shed","Blue Cloud wash room"
5385.601613,24,"Urban Farm Girlz Sheep Shed","Blue Cloud main"
5386.47096,25,"Urban Farm Girlz Sheep Shed","Blue Cloud pony shed"
5761.465774,26,"Urban Farm Girlz Sheep Shed","Make Believe"
5785.609859,27,"Urban Farm Girlz Sheep Shed","Make Believe Shed"
5910.808594,28,"Urban Farm Girlz Sheep Shed","Starlight est"
6755.369969,29,"Urban Farm Girlz Sheep Shed","McCauley est"
7121.089275,30,"Urban Farm Girlz Sheep Shed","Grizz est"
7424.919949,31,"Urban Farm Girlz Sheep Shed","Jims Green Barn est"
