Send.,Year,Band,Site,Sex,Type,FamilyID,Rep.by.x,GPS_tag.,Nest._1,Tissue,DNA.ID,DNA.Concentration..ng.µL.,DNA.storage.location,X,Re.extract.,Seq.ID,Rep.by.y,Nest..,Brood..,clutch_id
Y,2022,2881-34022,CHR,,kid,CHR-058,585,,58,blood,585,59.537,CO 2022 Field Box 4,,,CO-34022,585,58,1,CHR_58_1
Y,2022,2881-34023,CHR,,kid,CHR-058,586,,58,blood,586,40.778,CO 2022 Field Box 4,,,CO-34023,586,58,1,CHR_58_1
Y,2022,2881-34024,CHR,,kid,CHR-058,587,,58,blood,587,85.737,CO 2022 Field Box 4,,,CO-34024,587,58,1,CHR_58_1
Y,2022,T010,CHR,,kid,CHR-058,T010,,58,tissue,T010,384.279,2.057,,,CO-T010,T010,58,1,CHR_58_1
Y,2022,2811-83323,CHR,,kid,CHR-066,656,,16,blood,656,208.244,CO 2022 Field Box 5,,,CO-83323,656,16,2,CHR_16_2
Y,2022,2811-83324,CHR,,kid,CHR-066,657,,16,blood,657,69.055,CO 2022 Field Box 5,,,CO-83324,657,16,2,CHR_16_2
Y,2022,2811-83325,CHR,,kid,CHR-066,658,,16,blood,658,118.426,CO 2022 Field Box 5,,,CO-83325,658,16,2,CHR_16_2
Y,2022,2811-83326,CHR,,kid,CHR-066,659,,16,blood,659,191.328,CO 2022 Field Box 5,,,CO-83326,659,16,2,CHR_16_2
N,2022,2850-57581,CHR,M,dad,CHR-066,876,,16,blood,341,18.923,Colorado Field Blood 2022 Box 1,,,CO-57581,876,NA,NA,NA
Y,2022,2850-57652,CHR,F,mom,CHR-066,397,,16,blood,397,35.601,Colorado Field Blood 2022 Box 1,,,CO-57652,397,NA,NA,NA
Y,2022,2881-34014,CHR,,kid,CHR-066,579,,66,blood,579,87.366,CO 2022 Field Box 4,,,CO-34014,579,66,1,CHR_66_1
Y,2022,2881-34015,CHR,,kid,CHR-066,580,,66,blood,580,47.479,CO 2022 Field Box 4,,,CO-34015,580,66,1,CHR_66_1
Y,2022,2850-57670,CHR,F,mom,CHR-073,400,,73,blood,400,20.205,Colorado Field Blood 2022 Box 1,,,CO-57670,400,NA,NA,NA
Y,2022,2850-57671,CHR,M,dad,CHR-073,380,,73,blood,380,73.608,Colorado Field Blood 2022 Box 1,,,CO-57671,380,NA,NA,NA
Y,2022,2881-34029,CHR,,kid,CHR-073,631,,73,blood,631,402.008,CO 2022 Field Box 4,,,CO-34029,631,73,1,CHR_73_1
Y,2022,2881-34030,CHR,,kid,CHR-073,632,,73,blood,632,103.094,CO 2022 Field Box 4,,,CO-34030,632,73,1,CHR_73_1
Y,2022,2881-34031,CHR,,kid,CHR-073,633,,73,blood,633,264.098,CO 2022 Field Box 4,,,CO-34031,633,73,1,CHR_73_1
Y,2022,2881-34032,CHR,,kid,CHR-073,634,,73,blood,634,132.285,CO 2022 Field Box 4,,,CO-34032,634,73,1,CHR_73_1
Y,2022,T002,CHR,,kid,CHR-073,T002,,73,tissue,T002,129.423,2.015,,,CO-T002,T002,73,1,CHR_73_1
N,2022,2811-83274,CHR,,kid,CHR-074,871,,74,blood,509,18.479,CO 2022 Field Box 3,,,CO-83274,871,74,1,CHR_74_1
N,2022,2811-83275,CHR,,kid,CHR-074,818,,74,blood,510,14.245,CO 2022 Field Box 3,,,CO-83275,818,74,1,CHR_74_1
N,2022,2811-83276,CHR,,kid,CHR-074,819,,74,blood,511,5.674,CO 2022 Field Box 3,,,CO-83276,819,74,1,CHR_74_1
Y,2022,2850-57582,CHR,M,dad,CHR-074,342,,74,blood,342,26.442,Colorado Field Blood 2022 Box 1,,,CO-57582,342,NA,NA,NA
Y,2022,2850-57746,CHR,F,mom,CHR-074,406,,74,blood,406,22.312,Colorado Field Blood 2022 Box 1,,,CO-57746,406,NA,NA,NA
Y,2022,2881-33677,CHR,,kid,CHR-074,741,,6,blood,741,230.103,CO 2022 Field Box 6,,,CO-33677,741,6,2,CHR_6_2
Y,2022,2881-33678,CHR,,kid,CHR-074,742,,6,blood,742,239.181,CO 2022 Field Box 6,,,CO-33678,742,6,2,CHR_6_2
Y,2022,2881-33679,CHR,,kid,CHR-074,743,,6,blood,743,91.308,CO 2022 Field Box 6,,,CO-33679,743,6,2,CHR_6_2
Y,2022,2881-33680,CHR,,kid,CHR-074,744,,6,blood,744,110.426,CO 2022 Field Box 6,,,CO-33680,744,6,2,CHR_6_2
