"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","band_ind1","site_ind1","nest_ind1","type_ind1","FamilyID_ind1","brood_ind1","clutchID_ind1","band_ind2","site_ind2","nest_ind2","type_ind2","FamilyID_ind2","brood_ind2","clutchID_ind2","mom.assign3","dad.assign3"
"CO_57552","CO_83151",0.236,0.704,0.06,0.412,68799,"2850-57552","Struthers",24,"dad","Struthers-24",NA,"Struthers_24_","2811-83151","Struthers",24,"kid","Struthers-24","1","Struthers_24_1",1,2
"CO_57552","CO_83149",0.265,0.646,0.089,0.412,66822,"2850-57552","Struthers",24,"dad","Struthers-24",NA,"Struthers_24_","2811-83149","Struthers",24,"kid","Struthers-24","1","Struthers_24_1",1,2
"CO_57552","CO_83150",0.252,0.672,0.077,0.413,63967,"2850-57552","Struthers",24,"dad","Struthers-24",NA,"Struthers_24_","2811-83150","Struthers",24,"kid","Struthers-24","1","Struthers_24_1",1,2
"CO_57552","CO_83177",0.288,0.614,0.098,0.405,57433,"2850-57552","Struthers",24,"dad","Struthers-24",NA,"Struthers_24_","2811-83177","Struthers",25,"kid","Struthers-24","2","Struthers_25_2",1,1
"CO_57552","CO_83176",0.266,0.66,0.074,0.404,59836,"2850-57552","Struthers",24,"dad","Struthers-24",NA,"Struthers_24_","2811-83176","Struthers",25,"kid","Struthers-24","2","Struthers_25_2",1,1
"CO_57629","CO_33805",0.211,0.721,0.068,0.429,63905,"2850-57629","Urban Farm Girlz",2,"mom","UrbanFarm-05",NA,"Urban Farm Girlz_2_","2881-33805","Urban Farm Girlz",5,"kid","UrbanFarm-05","2","Urban Farm Girlz_5_1",1,1
"CO_57629","CO_83373",0.209,0.719,0.072,0.432,63300,"2850-57629","Urban Farm Girlz",2,"mom","UrbanFarm-05",NA,"Urban Farm Girlz_2_","2811-83373","Urban Farm Girlz",8,"kid","UrbanFarm-05","1","Urban Farm Girlz_8_1",1,0
"CO_57629","CO_83370",0.216,0.686,0.098,0.441,63712,"2850-57629","Urban Farm Girlz",2,"mom","UrbanFarm-05",NA,"Urban Farm Girlz_2_","2811-83370","Urban Farm Girlz",8,"kid","UrbanFarm-05","1","Urban Farm Girlz_8_1",1,0
"CO_57629","CO_83372",0.241,0.655,0.105,0.432,63282,"2850-57629","Urban Farm Girlz",2,"mom","UrbanFarm-05",NA,"Urban Farm Girlz_2_","2811-83372","Urban Farm Girlz",8,"kid","UrbanFarm-05","1","Urban Farm Girlz_8_1",1,0
"CO_57629","CO_83374",0.186,0.722,0.092,0.453,59144,"2850-57629","Urban Farm Girlz",2,"mom","UrbanFarm-05",NA,"Urban Farm Girlz_2_","2811-83374","Urban Farm Girlz",8,"kid","UrbanFarm-05","1","Urban Farm Girlz_8_1",1,0
"CO_57643","CO_33951",0.199,0.738,0.063,0.432,63559,"2850-57643","Urban Farm Girlz",2,"dad","UrbanFarm-07",NA,"Urban Farm Girlz_2_","2881-33951","Urban Farm Girlz",7,"kid","UrbanFarm-07","2","Urban Farm Girlz_7_2",1,1
"CO_57643","CO_33950",0.231,0.691,0.078,0.424,61113,"2850-57643","Urban Farm Girlz",2,"dad","UrbanFarm-07",NA,"Urban Farm Girlz_2_","2881-33950","Urban Farm Girlz",7,"kid","UrbanFarm-07","2","Urban Farm Girlz_7_2",1,1
