"SeqID","Band","Site","Type","FamilyID","Nest","Brood","clutchID"
"CO_33620","2881-33620","Cooks","kid","Cooks-33",33,1,"Cook's_33_1"
"CO_33621","2881-33621","Cooks","kid","Cooks-33",33,1,"Cook's_33_1"
"CO_83281","2811-83281","Dome House","kid","DomeHouse-01",1,1,"Dome House_1_1"
"CO_83282","2811-83282","Dome House","kid","DomeHouse-01",1,1,"Dome House_1_1"
"CO_33648","2881-33648","Dome House","kid","DomeHouse-01",2,2,"Dome House_2_2"
"CO_33650","2881-33650","Dome House","kid","DomeHouse-01",2,2,"Dome House_2_2"
"CO_34085","2881-34085","Karen's","kid","Karens-01",1.2,2,"Karen's_1.2_2"
"CO_34086","2881-34086","Karen's","kid","Karens-01",1.2,2,"Karen's_1.2_2"
"CO_34087","2881-34087","Karen's","kid","Karens-01",1.2,2,"Karen's_1.2_2"
"CO_83290","2811-83290","Make Believe","kid","MakeBelieve-08",8,1,"Make Believe_8_1"
"CO_83291","2811-83291","Make Believe","kid","MakeBelieve-08",8,1,"Make Believe_8_1"
"CO_83127","2811-83127","Make Believe","kid","MakeBelieve-13",13,1,"Make Believe_13_1"
"CO_83128","2811-83128","Make Believe","kid","MakeBelieve-13",13,1,"Make Believe_13_1"
"CO_83129","2811-83129","Make Believe","kid","MakeBelieve-13",13,1,"Make Believe_13_1"
"CO_83254","2811-83254","Make Believe","kid","MakeBelieve-14",14,1,"Make Believe_14_1"
"CO_83255","2811-83255","Make Believe","kid","MakeBelieve-14",14,1,"Make Believe_14_1"
"CO_83256","2811-83256","Make Believe","kid","MakeBelieve-14",14,1,"Make Believe_14_1"
"CO_83257","2811-83257","Make Believe","kid","MakeBelieve-14",14,1,"Make Believe_14_1"
"CO_33646","2881-33646","Make Believe","kid","MakeBelieve-14",69,2,"Make Believe_69_2"
"CO_33647","2881-33647","Make Believe","kid","MakeBelieve-14",69,2,"Make Believe_69_2"
"CO_83283","2811-83283","Make Believe","kid","MakeBelieve-26",26,1,"Make Believe_26_1"
"CO_83284","2811-83284","Make Believe","kid","MakeBelieve-26",26,1,"Make Believe_26_1"
"CO_83285","2811-83285","Make Believe","kid","MakeBelieve-26",26,1,"Make Believe_26_1"
"CO_83286","2811-83286","Make Believe","kid","MakeBelieve-26",26,1,"Make Believe_26_1"
"CO_33666","2881-33666","Make Believe","kid","MakeBelieve-26",48,2,"Make Believe_48_2"
"CO_33667","2881-33667","Make Believe","kid","MakeBelieve-26",48,2,"Make Believe_48_2"
"CO_33668","2881-33668","Make Believe","kid","MakeBelieve-26",48,2,"Make Believe_48_2"
"CO_33669","2881-33669","Make Believe","kid","MakeBelieve-26",48,2,"Make Believe_48_2"
"CO_83292","2811-83292","Make Believe","kid","MakeBelieve-38",34,1,"Make Believe_34_1"
"CO_83293","2811-83293","Make Believe","kid","MakeBelieve-38",34,1,"Make Believe_34_1"
"CO_83294","2811-83294","Make Believe","kid","MakeBelieve-38",34,1,"Make Believe_34_1"
"CO_83295","2811-83295","Make Believe","kid","MakeBelieve-38",34,1,"Make Believe_34_1"
"CO_33662","2881-33662","Make Believe","kid","MakeBelieve-38",38,2,"Make Believe_38_2"
"CO_33663","2881-33663","Make Believe","kid","MakeBelieve-38",38,2,"Make Believe_38_2"
"CO_33664","2881-33664","Make Believe","kid","MakeBelieve-38",38,2,"Make Believe_38_2"
"CO_33665","2881-33665","Make Believe","kid","MakeBelieve-38",38,2,"Make Believe_38_2"
"CO_83085","2811-83085","Make Believe","kid","MakeBelieve-73",73,1,"Make Believe_73_1"
"CO_83086","2811-83086","Make Believe","kid","MakeBelieve-73",73,1,"Make Believe_73_1"
"CO_83087","2811-83087","Make Believe","kid","MakeBelieve-73",73,1,"Make Believe_73_1"
"CO_83088","2811-83088","Make Believe","kid","MakeBelieve-73",73,1,"Make Believe_73_1"
"CO_83089","2811-83089","Make Believe","kid","MakeBelieve-73",73,1,"Make Believe_73_1"
"CO_33622","2881-33622","Make Believe","kid","MakeBelieve-73",73,2,"Make Believe_73_2"
